id,behavior
0,MB_NORMAL
1,MB_NORMAL
2,MB_NORMAL
3,MB_NORMAL
4,MB_NORMAL
5,MB_NORMAL
6,MB_NORMAL
7,MB_NORMAL
8,MB_NORMAL
9,MB_NORMAL
10,MB_NORMAL
11,MB_NORMAL
12,MB_NORMAL
13,MB_NORMAL
14,MB_NORMAL
15,MB_TRAINER_HILL_TIMER
16,MB_NORMAL
17,MB_NORMAL
18,MB_NORMAL
19,MB_NORMAL
20,MB_NORMAL
21,MB_NORMAL
22,MB_NORMAL
23,MB_TRICK_HOUSE_PUZZLE_8_FLOOR
24,MB_NORMAL
25,MB_NON_ANIMATED_DOOR
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_NON_ANIMATED_DOOR
31,MB_TRICK_HOUSE_PUZZLE_8_FLOOR
32,MB_JUMP_EAST
33,MB_JUMP_SOUTH
34,MB_JUMP_WEST
35,MB_NORMAL
36,MB_NORMAL
37,MB_NORMAL
38,MB_NORMAL
39,MB_NORMAL
40,MB_JUMP_EAST
41,MB_JUMP_SOUTH
42,MB_JUMP_WEST
43,MB_NORMAL
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NORMAL
48,MB_JUMP_SOUTH
49,MB_NORMAL
50,MB_JUMP_SOUTH
51,MB_NORMAL
52,MB_NORMAL
53,MB_NORMAL
54,MB_NORMAL
55,MB_NORMAL
56,MB_NORMAL
57,MB_NORMAL
58,MB_NORMAL
59,MB_NORMAL
60,MB_SECRET_BASE_GLITTER_MAT
61,MB_SECRET_BASE_GLITTER_MAT
62,MB_SECRET_BASE_SPIN_MAT
63,MB_SECRET_BASE_JUMP_MAT
64,MB_SLIDE_NORTH
65,MB_SLIDE_SOUTH
66,MB_SLIDE_WEST
67,MB_SLIDE_EAST
68,MB_NORMAL
69,MB_NORMAL
70,MB_NORMAL
71,MB_NORMAL
72,MB_SLIDE_NORTH
73,MB_SLIDE_SOUTH
74,MB_SLIDE_WEST
75,MB_SLIDE_EAST
76,MB_NORMAL
77,MB_NORMAL
78,MB_NORMAL
79,MB_NORMAL
80,MB_NORMAL
81,MB_NORMAL
82,MB_NORMAL
83,MB_NORMAL
84,MB_NORMAL
85,MB_NORMAL
86,MB_NORMAL
87,MB_NORMAL
88,MB_JUMP_EAST
89,MB_JUMP_SOUTH
90,MB_JUMP_WEST
91,MB_NORMAL
92,MB_NORMAL
93,MB_NORMAL
94,MB_NORMAL
95,MB_NORMAL
96,MB_JUMP_EAST
97,MB_JUMP_SOUTH
98,MB_JUMP_WEST
99,MB_NORMAL
100,MB_NORMAL
101,MB_NORMAL
102,MB_NORMAL
103,MB_NORMAL
104,MB_JUMP_SOUTH
105,MB_NORMAL
106,MB_JUMP_SOUTH
107,MB_NORMAL
108,MB_NORMAL
109,MB_NORMAL
110,MB_NORMAL
111,MB_NORMAL
112,MB_NORMAL
113,MB_NORMAL
114,MB_NORMAL
115,MB_NORMAL
116,MB_SECRET_BASE_GLITTER_MAT
117,MB_SECRET_BASE_GLITTER_MAT
118,MB_SECRET_BASE_SPIN_MAT
119,MB_SECRET_BASE_JUMP_MAT
120,MB_SECRET_BASE_SOUND_MAT
121,MB_SECRET_BASE_SOUND_MAT
122,MB_SECRET_BASE_SOUND_MAT
123,MB_SECRET_BASE_SOUND_MAT
124,MB_SECRET_BASE_SOUND_MAT
125,MB_SECRET_BASE_SOUND_MAT
126,MB_SECRET_BASE_SOUND_MAT
127,MB_NORMAL
128,MB_JUMP_EAST
129,MB_JUMP_SOUTH
130,MB_JUMP_WEST
131,MB_NORMAL
132,MB_NORMAL
133,MB_NORMAL
134,MB_NORMAL
135,MB_NORMAL
136,MB_JUMP_EAST
137,MB_JUMP_SOUTH
138,MB_JUMP_WEST
139,MB_NORMAL
140,MB_NORMAL
141,MB_NORMAL
142,MB_NORMAL
143,MB_NORMAL
144,MB_JUMP_SOUTH
145,MB_NORMAL
146,MB_JUMP_SOUTH
147,MB_NORMAL
148,MB_NORMAL
149,MB_NORMAL
150,MB_NORMAL
151,MB_NORMAL
152,MB_NORMAL
153,MB_NORMAL
154,MB_NORMAL
155,MB_NORMAL
156,MB_SECRET_BASE_GLITTER_MAT
157,MB_SECRET_BASE_GLITTER_MAT
158,MB_SECRET_BASE_SPIN_MAT
159,MB_SECRET_BASE_JUMP_MAT
160,MB_JUMP_EAST
161,MB_JUMP_SOUTH
162,MB_JUMP_WEST
163,MB_NORMAL
164,MB_NORMAL
165,MB_NORMAL
166,MB_NORMAL
167,MB_NORMAL
168,MB_JUMP_EAST
169,MB_JUMP_SOUTH
170,MB_JUMP_WEST
171,MB_NORMAL
172,MB_NORMAL
173,MB_NORMAL
174,MB_NORMAL
175,MB_NORMAL
176,MB_JUMP_SOUTH
177,MB_NORMAL
178,MB_JUMP_SOUTH
179,MB_SECRET_BASE_SOUND_MAT
180,MB_NORMAL
181,MB_NORMAL
182,MB_NORMAL
183,MB_NORMAL
184,MB_NORMAL
185,MB_NORMAL
186,MB_NORMAL
187,MB_NORMAL
188,MB_SECRET_BASE_GLITTER_MAT
189,MB_SECRET_BASE_GLITTER_MAT
190,MB_SECRET_BASE_SPIN_MAT
191,MB_SECRET_BASE_JUMP_MAT
192,MB_JUMP_EAST
193,MB_JUMP_SOUTH
194,MB_JUMP_WEST
195,MB_NORMAL
196,MB_NORMAL
197,MB_NORMAL
198,MB_NORMAL
199,MB_NORMAL
200,MB_JUMP_EAST
201,MB_JUMP_SOUTH
202,MB_JUMP_WEST
203,MB_NORMAL
204,MB_NORMAL
205,MB_NORMAL
206,MB_NORMAL
207,MB_NORMAL
208,MB_JUMP_SOUTH
209,MB_NORMAL
210,MB_JUMP_SOUTH
211,MB_NORMAL
212,MB_NORMAL
213,MB_NORMAL
214,MB_NORMAL
215,MB_NORMAL
216,MB_NORMAL
217,MB_NORMAL
218,MB_NORMAL
219,MB_NORMAL
220,MB_SECRET_BASE_GLITTER_MAT
221,MB_SECRET_BASE_GLITTER_MAT
222,MB_SECRET_BASE_SPIN_MAT
223,MB_SECRET_BASE_JUMP_MAT
224,MB_JUMP_EAST
225,MB_JUMP_SOUTH
226,MB_JUMP_WEST
227,MB_NORMAL
228,MB_NORMAL
229,MB_NORMAL
230,MB_NORMAL
231,MB_NORMAL
232,MB_JUMP_EAST
233,MB_JUMP_SOUTH
234,MB_JUMP_WEST
235,MB_NORMAL
236,MB_NORMAL
237,MB_NORMAL
238,MB_NORMAL
239,MB_NORMAL
240,MB_JUMP_SOUTH
241,MB_NORMAL
242,MB_JUMP_SOUTH
243,MB_NORMAL
244,MB_NORMAL
245,MB_NORMAL
246,MB_NORMAL
247,MB_NORMAL
248,MB_NORMAL
249,MB_NORMAL
250,MB_NORMAL
251,MB_NORMAL
252,MB_SECRET_BASE_GLITTER_MAT
253,MB_SECRET_BASE_GLITTER_MAT
254,MB_SECRET_BASE_SPIN_MAT
255,MB_SECRET_BASE_JUMP_MAT
256,MB_NORMAL
257,MB_NORMAL
258,MB_NORMAL
259,MB_NORMAL
260,MB_NORMAL
261,MB_NORMAL
262,MB_COUNTER
263,MB_NORMAL
264,MB_NORMAL
265,MB_NORMAL
266,MB_NORMAL
267,MB_NORMAL
268,MB_NORMAL
269,MB_NORMAL
270,MB_NORMAL
271,MB_NORMAL
272,MB_NORMAL
273,MB_NORMAL
274,MB_NORMAL
275,MB_NORMAL
276,MB_NORMAL
277,MB_NORMAL
278,MB_NORMAL
279,MB_NORMAL
280,MB_NORMAL
281,MB_NORMAL
282,MB_NORMAL
283,MB_NORMAL
284,MB_NORMAL
285,MB_NORMAL
286,MB_NORMAL
287,MB_NORMAL
288,MB_NORMAL
289,MB_NORMAL
290,MB_NORMAL
291,MB_NORMAL
292,MB_NORMAL
293,MB_NORMAL
294,MB_NORMAL
295,MB_NORMAL
296,MB_NORMAL
297,MB_NORMAL
298,MB_NORMAL
299,MB_NORMAL
300,MB_ANIMATED_DOOR
301,MB_NORMAL
302,MB_NORMAL
303,MB_NORMAL
304,MB_NORMAL
305,MB_NORMAL
306,MB_NORMAL
307,MB_NORMAL
308,MB_NORMAL
309,MB_NORMAL
310,MB_NORMAL
311,MB_NORMAL
312,MB_NORMAL
313,MB_NORMAL
314,MB_NORMAL
315,MB_NORMAL
316,MB_NORMAL
317,MB_NORMAL
318,MB_NORMAL
319,MB_NORMAL
320,MB_NORMAL
321,MB_NORMAL
322,MB_NORMAL
323,MB_NON_ANIMATED_DOOR
324,MB_NORMAL
325,MB_NORMAL
326,MB_NON_ANIMATED_DOOR
327,MB_NORMAL
328,MB_NORMAL
329,MB_NORMAL
330,MB_NORMAL
331,MB_NORMAL
332,MB_NORMAL
333,MB_NORMAL
334,MB_NORMAL
335,MB_NORMAL
336,MB_NORMAL
337,MB_NORMAL
338,MB_COUNTER
339,MB_NORMAL
340,MB_NORMAL
341,MB_NORMAL
342,MB_NORMAL
343,MB_NORMAL
344,MB_NORMAL
345,MB_NORMAL
346,MB_NORMAL
347,MB_NORMAL
348,MB_NORMAL
349,MB_NORMAL
350,MB_NORMAL
351,MB_NORMAL
352,MB_NORMAL
353,MB_NORMAL
354,MB_NORMAL
355,MB_NORMAL
356,MB_NORMAL
357,MB_NORMAL
358,MB_NORMAL
359,MB_NORMAL
360,MB_NORMAL
361,MB_NORMAL
362,MB_NORMAL
363,MB_NORMAL
364,MB_NORMAL
365,MB_NORMAL
366,MB_NORMAL
367,MB_NORMAL
368,MB_NORMAL
369,MB_NORMAL
370,MB_NORMAL
371,MB_NORMAL
372,MB_NORMAL
373,MB_NORMAL
374,MB_NORMAL
375,MB_NORMAL
376,MB_NORMAL
377,MB_NORMAL
378,MB_NORMAL
379,MB_NORMAL
380,MB_NORMAL
381,MB_NORMAL
382,MB_NORMAL
383,MB_NORMAL
384,MB_NORMAL
385,MB_NORMAL
386,MB_NON_ANIMATED_DOOR
387,MB_ANIMATED_DOOR
388,MB_NORMAL
389,MB_NORMAL
390,MB_NORMAL
391,MB_NORMAL
392,MB_NORMAL
393,MB_NORMAL
394,MB_NORMAL
395,MB_NORMAL
396,MB_NORMAL
397,MB_NORMAL
398,MB_NORMAL
399,MB_NORMAL
400,MB_NORMAL
401,MB_NORMAL
402,MB_NORMAL
403,MB_NORMAL
404,MB_NORMAL
405,MB_NORMAL
406,MB_NORMAL
407,MB_NORMAL
408,MB_NORMAL
409,MB_NORMAL
410,MB_NORMAL
411,MB_NORMAL
412,MB_NORMAL
413,MB_NORMAL
414,MB_NORMAL
415,MB_NORMAL
416,MB_NORMAL
417,MB_NORMAL
418,MB_NORMAL
419,MB_NORMAL
420,MB_NORMAL
421,MB_NORMAL
422,MB_NORMAL
423,MB_NORMAL
424,MB_NORMAL
425,MB_NORMAL
426,MB_NORMAL
427,MB_NORMAL
428,MB_NORMAL
429,MB_NORMAL
430,MB_NORMAL
431,MB_NORMAL
432,MB_NORMAL
433,MB_NORMAL
434,MB_NORMAL
435,MB_NORMAL
436,MB_NORMAL
437,MB_NORMAL
438,MB_NORMAL
439,MB_NORMAL
440,MB_NORMAL
441,MB_NORMAL
442,MB_NORMAL
443,MB_NORMAL
444,MB_NORMAL
445,MB_NORMAL
446,MB_NORMAL
447,MB_NORMAL
448,MB_NORMAL
449,MB_NORMAL
450,MB_NORMAL
451,MB_NORMAL
452,MB_NORMAL
453,MB_NORMAL
454,MB_NORMAL
455,MB_NORMAL
456,MB_NORMAL
457,MB_NORMAL
458,MB_NORMAL
459,MB_NORMAL
460,MB_NORMAL
461,MB_NORMAL
462,MB_NORMAL
463,MB_NORMAL
464,MB_NORMAL
465,MB_NORMAL
466,MB_NORMAL
467,MB_NORMAL
468,MB_NORMAL
469,MB_NORMAL
470,MB_NORMAL
471,MB_NORMAL
472,MB_NORMAL
473,MB_NORMAL
474,MB_NORMAL
475,MB_NORMAL
476,MB_NORMAL
477,MB_NORMAL
478,MB_NORMAL
479,MB_NORMAL
480,MB_NORMAL
481,MB_NORMAL
482,MB_NORMAL
483,MB_NORMAL
484,MB_NORMAL
485,MB_NORMAL
